"analytic radiation flux density","radiation flux density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.357276,0.02891001,1,0.598,0,-0.402,0
3.360802,0.0290818,1,0.6,0,-0.4,0
3.364328,0.0292536,1,0.602,0,-0.398,0
3.367843,0.02942981,1,0.604,0,-0.396,0
3.371353,0.02960816,1,0.606,0,-0.394,0
3.374858,0.02978827,1,0.608,0,-0.392,0
3.378352,0.02997205,1,0.61,0,-0.39,0
3.381845,0.03015584,1,0.612,0,-0.388,0
3.385326,0.0303428,1,0.614,0,-0.386,0
3.388801,0.0305313,1,0.616,0,-0.384,0
3.39227,0.03072058,1,0.618,0,-0.382,0
3.395725,0.03091145,1,0.62,0,-0.38,0
3.399181,0.03110233,1,0.622,0,-0.378,0
3.402622,0.03129355,1,0.624,0,-0.376,0
3.406056,0.03148492,1,0.626,0,-0.374,0
3.409483,0.03167542,1,0.628,0,-0.372,0
3.412894,0.0318641,1,0.63,0,-0.37,0
3.416306,0.03205277,1,0.632,0,-0.368,0
3.419701,0.03223785,1,0.634,0,-0.366,0
3.423089,0.03242122,1,0.636,0,-0.364,0
3.426468,0.03260173,1,0.638,0,-0.362,0
3.429831,0.03277633,1,0.64,0,-0.36,0
3.433194,0.03295094,1,0.642,0,-0.358,0
3.436539,0.03311781,1,0.644,0,-0.356,0
3.439875,0.03328095,1,0.646,0,-0.354,0
3.443203,0.03343941,1,0.648,0,-0.352,0
3.446512,0.03358811,1,0.65,0,-0.35,0
3.449822,0.03373682,1,0.652,0,-0.348,0
3.453112,0.03387431,1,0.654,0,-0.346,0
3.456392,0.0340064,1,0.656,0,-0.344,0
3.459664,0.03413246,1,0.658,0,-0.342,0
3.462915,0.03424599,1,0.66,0,-0.34,0
3.466167,0.03435951,1,0.662,0,-0.338,0
3.469397,0.03445966,1,0.664,0,-0.336,0
3.472618,0.03455338,1,0.666,0,-0.334,0
3.475829,0.03464044,1,0.668,0,-0.332,0
3.479019,0.03471366,1,0.67,0,-0.33,0
3.482208,0.03478687,1,0.672,0,-0.328,0
3.485376,0.03484612,1,0.674,0,-0.326,0
3.488533,0.03489864,1,0.676,0,-0.324,0
3.49168,0.03494459,1,0.678,0,-0.322,0
3.494804,0.03497689,1,0.68,0,-0.32,0
3.497928,0.03500919,1,0.682,0,-0.318,0
3.501028,0.03502828,1,0.684,0,-0.316,0
3.504118,0.03504102,1,0.686,0,-0.314,0
3.507197,0.03504783,1,0.688,0,-0.312,0
3.510252,0.03504234,1,0.69,0,-0.31,0
3.513307,0.03503685,1,0.692,0,-0.308,0
3.516337,0.03501988,1,0.694,0,-0.306,0
3.519356,0.03499739,1,0.696,0,-0.304,0
3.522364,0.03496997,1,0.698,0,-0.302,0
3.525346,0.03493232,1,0.7,0,-0.3,0
3.528329,0.03489467,1,0.702,0,-0.298,0
3.531286,0.03484784,1,0.704,0,-0.296,0
3.534232,0.03479659,1,0.706,0,-0.294,0
3.537165,0.03474161,1,0.708,0,-0.292,0
3.540072,0.03467887,1,0.71,0,-0.29,0
3.542979,0.03461613,1,0.712,0,-0.288,0
3.54586,0.03454684,1,0.714,0,-0.286,0
3.548729,0.0344744,1,0.716,0,-0.284,0
3.551584,0.03439954,1,0.718,0,-0.282,0
3.554413,0.03431967,1,0.72,0,-0.28,0
3.557243,0.0342398,1,0.722,0,-0.278,0
3.560045,0.03415623,1,0.724,0,-0.276,0
3.562834,0.0340709,1,0.726,0,-0.274,0
3.565609,0.03398455,1,0.728,0,-0.272,0
