"radiation flux density","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.93438,1,0.646,0,-0.354,0
0.93473,1,0.648,0,-0.352,0
0.93489,1,0.65,0,-0.35,0
0.93504,1,0.652,0,-0.348,0
0.9323,1,0.654,0,-0.346,0
0.92817,1,0.656,0,-0.344,0
0.92429,1,0.658,0,-0.342,0
0.92093,1,0.66,0,-0.34,0
0.91757,1,0.662,0,-0.338,0
0.91394,1,0.664,0,-0.336,0
0.91017,1,0.666,0,-0.334,0
0.90682,1,0.668,0,-0.332,0
0.90432,1,0.67,0,-0.33,0
0.90183,1,0.672,0,-0.328,0
0.90164,1,0.674,0,-0.326,0
0.90258,1,0.676,0,-0.324,0
0.90419,1,0.678,0,-0.322,0
0.90722,1,0.68,0,-0.32,0
0.91024,1,0.682,0,-0.318,0
0.91765,1,0.684,0,-0.316,0
0.92716,1,0.686,0,-0.314,0
0.93786,1,0.688,0,-0.312,0
0.95104,1,0.69,0,-0.31,0
0.96422,1,0.692,0,-0.308,0
0.98354,1,0.694,0,-0.306,0
1.0058,1,0.696,0,-0.304,0
1.0288,1,0.698,0,-0.302,0
1.0531,1,0.7,0,-0.3,0
1.0774,1,0.702,0,-0.298,0
1.1068,1,0.704,0,-0.296,0
1.1387,1,0.706,0,-0.294,0
1.1696,1,0.708,0,-0.292,0
1.1984,1,0.71,0,-0.29,0
1.2272,1,0.712,0,-0.288,0
1.2528,1,0.714,0,-0.286,0
1.2769,1,0.716,0,-0.284,0
1.3003,1,0.718,0,-0.282,0
1.3223,1,0.72,0,-0.28,0
1.3442,1,0.722,0,-0.278,0
1.361,1,0.724,0,-0.276,0
1.3753,1,0.726,0,-0.274,0
1.391,1,0.728,0,-0.272,0
1.4094,1,0.73,0,-0.27,0
1.4278,1,0.732,0,-0.268,0
1.4452,1,0.734,0,-0.266,0
1.4621,1,0.736,0,-0.264,0
1.4813,1,0.738,0,-0.262,0
1.5052,1,0.74,0,-0.26,0
1.5291,1,0.742,0,-0.258,0
1.553,1,0.744,0,-0.256,0
1.5768,1,0.746,0,-0.254,0
1.6014,1,0.748,0,-0.252,0
1.6278,1,0.75,0,-0.25,0
1.6542,1,0.752,0,-0.248,0
1.6741,1,0.754,0,-0.246,0
1.6909,1,0.756,0,-0.244,0
1.7078,1,0.758,0,-0.242,0
1.7249,1,0.76,0,-0.24,0
1.742,1,0.762,0,-0.238,0
1.7522,1,0.764,0,-0.236,0
1.759,1,0.766,0,-0.234,0
1.7696,1,0.768,0,-0.232,0
1.7879,1,0.77,0,-0.23,0
1.8063,1,0.772,0,-0.228,0
1.8268,1,0.774,0,-0.226,0
1.8485,1,0.776,0,-0.224,0
1.8748,1,0.778,0,-0.222,0
1.911,1,0.78,0,-0.22,0
1.9472,1,0.782,0,-0.218,0
1.9949,1,0.784,0,-0.216,0
2.0482,1,0.786,0,-0.214,0
2.1035,1,0.788,0,-0.212,0
2.1627,1,0.79,0,-0.21,0
2.2219,1,0.792,0,-0.208,0
2.2992,1,0.794,0,-0.206,0
2.3853,1,0.796,0,-0.204,0
2.4654,1,0.798,0,-0.202,0
2.5327,1,0.8,0,-0.2,0
2.6001,1,0.802,0,-0.198,0
2.6505,1,0.804,0,-0.196,0
2.6927,1,0.806,0,-0.194,0
2.7251,1,0.808,0,-0.192,0
2.7368,1,0.81,0,-0.19,0
2.7486,1,0.812,0,-0.188,0
2.719,1,0.814,0,-0.186,0
2.6695,1,0.816,0,-0.184,0
2.612,1,0.818,0,-0.182,0
2.5381,1,0.82,0,-0.18,0
2.4642,1,0.822,0,-0.178,0
2.3744,1,0.824,0,-0.176,0
2.2771,1,0.826,0,-0.174,0
2.1832,1,0.828,0,-0.172,0
2.0964,1,0.83,0,-0.17,0
2.0097,1,0.832,0,-0.168,0
1.9327,1,0.834,0,-0.166,0
1.8606,1,0.836,0,-0.164,0
1.7944,1,0.838,0,-0.162,0
1.7408,1,0.84,0,-0.16,0
1.6872,1,0.842,0,-0.158,0
1.6735,1,0.844,0,-0.156,0
1.679,1,0.846,0,-0.154,0
1.6868,1,0.848,0,-0.152,0
1.6991,1,0.85,0,-0.15,0
1.7115,1,0.852,0,-0.148,0
1.7365,1,0.854,0,-0.146,0
1.7675,1,0.856,0,-0.144,0
1.786,1,0.858,0,-0.142,0
1.7785,1,0.86,0,-0.14,0
1.7709,1,0.862,0,-0.138,0
1.742,1,0.864,0,-0.136,0
1.7027,1,0.866,0,-0.134,0
1.6594,1,0.868,0,-0.132,0
1.6076,1,0.87,0,-0.13,0
1.5559,1,0.872,0,-0.128,0
1.5219,1,0.874,0,-0.126,0
1.4964,1,0.876,0,-0.124,0
1.4782,1,0.878,0,-0.122,0
1.4749,1,0.88,0,-0.12,0
1.4717,1,0.882,0,-0.118,0
1.4981,1,0.884,0,-0.116,0
1.5388,1,0.886,0,-0.114,0
1.577,1,0.888,0,-0.112,0
1.6102,1,0.89,0,-0.11,0
1.6434,1,0.892,0,-0.108,0
1.6216,1,0.894,0,-0.106,0
1.5735,1,0.896,0,-0.104,0
1.5169,1,0.898,0,-0.102,0
1.443,1,0.9,0,-0.1,0
1.369,1,0.902,0,-0.098,0
1.317,1,0.904,0,-0.096,0
1.2756,1,0.906,0,-0.094,0
1.2374,1,0.908,0,-0.092,0
1.2061,1,0.91,0,-0.09,0
1.1747,1,0.912,0,-0.088,0
1.146,1,0.914,0,-0.086,0
1.1185,1,0.916,0,-0.084,0
1.0952,1,0.918,0,-0.082,0
1.0804,1,0.92,0,-0.08,0
1.0657,1,0.922,0,-0.078,0
1.0494,1,0.924,0,-0.076,0
1.0324,1,0.926,0,-0.074,0
1.0204,1,0.928,0,-0.072,0
1.0187,1,0.93,0,-0.07,0
1.017,1,0.932,0,-0.068,0
1.0663,1,0.934,0,-0.066,0
1.1403,1,0.936,0,-0.064,0
1.2051,1,0.938,0,-0.062,0
1.2507,1,0.94,0,-0.06,0
1.2963,1,0.942,0,-0.058,0
1.2952,1,0.944,0,-0.056,0
1.2714,1,0.946,0,-0.054,0
1.2607,1,0.948,0,-0.052,0
1.277,1,0.95,0,-0.05,0
1.2934,1,0.952,0,-0.048,0
1.3237,1,0.954,0,-0.046,0
1.3608,1,0.956,0,-0.044,0
1.3836,1,0.958,0,-0.042,0
1.3765,1,0.96,0,-0.04,0
1.3694,1,0.962,0,-0.038,0
1.3218,1,0.964,0,-0.036,0
1.2546,1,0.966,0,-0.034,0
1.1805,1,0.968,0,-0.032,0
1.0917,1,0.97,0,-0.03,0
1.003,1,0.972,0,-0.028,0
1.0088,1,0.974,0,-0.026,0
1.0601,1,0.976,0,-0.024,0
1.1049,1,0.978,0,-0.022,0
1.1361,1,0.98,0,-0.02,0
1.1672,1,0.982,0,-0.018,0
1.1621,1,0.984,0,-0.016,0
1.1394,1,0.986,0,-0.014,0
1.1219,1,0.988,0,-0.012,0
1.1149,1,0.99,0,-0.01,0
1.108,1,0.992,0,-0.008,0
1.1291,1,0.994,0,-0.006,0
1.1636,1,0.996,0,-0.004,0
1.1771,1,0.998,0,-0.002,0
1.1469,1,1,0,0,0
1.1168,1,1.002,0,0.002,0
1.0744,1,1.004,0,0.004,0
1.0262,1,1.006,0,0.006,0
1.0008,1,1.008,0,0.008,0
1.0229,1,1.01,0,0.01,0
1.0451,1,1.012,0,0.012,0
1.0772,1,1.014,0,0.014,0
1.1141,1,1.016,0,0.016,0
1.1412,1,1.018,0,0.018,0
1.1479,1,1.02,0,0.02,0
1.1546,1,1.022,0,0.022,0
1.1369,1,1.024,0,0.024,0
1.1074,1,1.026,0,0.026,0
1.0994,1,1.028,0,0.028,0
1.1361,1,1.03,0,0.03,0
1.1728,1,1.032,0,0.032,0
1.1947,1,1.034,0,0.034,0
1.2093,1,1.036,0,0.036,0
1.2513,1,1.038,0,0.038,0
1.35,1,1.04,0,0.04,0
1.4487,1,1.042,0,0.042,0
1.4844,1,1.044,0,0.044,0
1.4899,1,1.046,0,0.046,0
1.4915,1,1.048,0,0.048,0
1.4852,1,1.05,0,0.05,0
1.4788,1,1.052,0,0.052,0
1.4491,1,1.054,0,0.054,0
1.4081,1,1.056,0,0.056,0
1.3637,1,1.058,0,0.058,0
1.3123,1,1.06,0,0.06,0
1.2609,1,1.062,0,0.062,0
1.2692,1,1.064,0,0.064,0
1.3062,1,1.066,0,0.066,0
1.3371,1,1.068,0,0.068,0
1.355,1,1.07,0,0.07,0
1.3729,1,1.072,0,0.072,0
1.418,1,1.074,0,0.074,0
1.476,1,1.076,0,0.076,0
1.5102,1,1.078,0,0.078,0
1.4945,1,1.08,0,0.08,0
1.4789,1,1.082,0,0.082,0
1.4618,1,1.084,0,0.084,0
1.4442,1,1.086,0,0.086,0
1.453,1,1.088,0,0.088,0
1.5168,1,1.09,0,0.09,0
1.5806,1,1.092,0,0.092,0
1.5895,1,1.094,0,0.094,0
1.5718,1,1.096,0,0.096,0
1.549,1,1.098,0,0.098,0
1.5155,1,1.1,0,0.1,0
1.4821,1,1.102,0,0.102,0
1.4956,1,1.104,0,0.104,0
1.5318,1,1.106,0,0.106,0
1.5539,1,1.108,0,0.108,0
1.5465,1,1.11,0,0.11,0
1.5391,1,1.112,0,0.112,0
1.5131,1,1.114,0,0.114,0
1.4783,1,1.116,0,0.116,0
1.4574,1,1.118,0,0.118,0
1.4654,1,1.12,0,0.12,0
1.4734,1,1.122,0,0.122,0
1.4773,1,1.124,0,0.124,0
1.4793,1,1.126,0,0.126,0
1.4862,1,1.128,0,0.128,0
1.5034,1,1.13,0,0.13,0
1.5207,1,1.132,0,0.132,0
1.5387,1,1.134,0,0.134,0
1.5572,1,1.136,0,0.136,0
1.5724,1,1.138,0,0.138,0
1.5808,1,1.14,0,0.14,0
1.5893,1,1.142,0,0.142,0
1.593,1,1.144,0,0.144,0
1.5944,1,1.146,0,0.146,0
1.5816,1,1.148,0,0.148,0
1.5393,1,1.15,0,0.15,0
1.497,1,1.152,0,0.152,0
1.4758,1,1.154,0,0.154,0
1.4647,1,1.156,0,0.156,0
1.4742,1,1.158,0,0.158,0
1.5263,1,1.16,0,0.16,0
1.5784,1,1.162,0,0.162,0
1.6682,1,1.164,0,0.164,0
1.7761,1,1.166,0,0.166,0
1.8865,1,1.168,0,0.168,0
2.0021,1,1.17,0,0.17,0
2.1178,1,1.172,0,0.172,0
2.2143,1,1.174,0,0.174,0
2.3018,1,1.176,0,0.176,0
2.3816,1,1.178,0,0.178,0
2.4457,1,1.18,0,0.18,0
2.5098,1,1.182,0,0.182,0
2.5429,1,1.184,0,0.184,0
2.5611,1,1.186,0,0.186,0
2.5722,1,1.188,0,0.188,0
2.5684,1,1.19,0,0.19,0
2.5647,1,1.192,0,0.192,0
2.5571,1,1.194,0,0.194,0
2.5476,1,1.196,0,0.196,0
2.5304,1,1.198,0,0.198,0
2.4974,1,1.2,0,0.2,0
2.4643,1,1.202,0,0.202,0
2.4327,1,1.204,0,0.204,0
2.4019,1,1.206,0,0.206,0
2.3689,1,1.208,0,0.208,0
2.3315,1,1.21,0,0.21,0
2.294,1,1.212,0,0.212,0
2.2517,1,1.214,0,0.214,0
2.207,1,1.216,0,0.216,0
2.1655,1,1.218,0,0.218,0
2.1306,1,1.22,0,0.22,0
2.0956,1,1.222,0,0.222,0
2.0594,1,1.224,0,0.224,0
2.0227,1,1.226,0,0.226,0
1.9887,1,1.228,0,0.228,0
1.9603,1,1.23,0,0.23,0
1.9319,1,1.232,0,0.232,0
1.9038,1,1.234,0,0.234,0
1.8757,1,1.236,0,0.236,0
1.8488,1,1.238,0,0.238,0
1.8242,1,1.24,0,0.24,0
1.7996,1,1.242,0,0.242,0
1.7702,1,1.244,0,0.244,0
1.7385,1,1.246,0,0.246,0
1.7073,1,1.248,0,0.248,0
1.6769,1,1.25,0,0.25,0
1.6466,1,1.252,0,0.252,0
1.6056,1,1.254,0,0.254,0
1.5595,1,1.256,0,0.256,0
1.5145,1,1.258,0,0.258,0
1.4718,1,1.26,0,0.26,0
1.4291,1,1.262,0,0.262,0
1.3894,1,1.264,0,0.264,0
1.3512,1,1.266,0,0.266,0
1.3136,1,1.268,0,0.268,0
1.2772,1,1.27,0,0.27,0
1.2408,1,1.272,0,0.272,0
1.2138,1,1.274,0,0.274,0
1.1915,1,1.276,0,0.276,0
1.1693,1,1.278,0,0.278,0
1.1477,1,1.28,0,0.28,0
1.1261,1,1.282,0,0.282,0
1.1109,1,1.284,0,0.284,0
1.0988,1,1.286,0,0.286,0
1.0876,1,1.288,0,0.288,0
1.0785,1,1.29,0,0.29,0
1.0694,1,1.292,0,0.292,0
1.0644,1,1.294,0,0.294,0
1.0615,1,1.296,0,0.296,0
1.0601,1,1.298,0,0.298,0
1.0618,1,1.3,0,0.3,0
1.0634,1,1.302,0,0.302,0
1.0664,1,1.304,0,0.304,0
1.0699,1,1.306,0,0.306,0
1.0731,1,1.308,0,0.308,0
1.0753,1,1.31,0,0.31,0
1.0775,1,1.312,0,0.312,0
1.0761,1,1.314,0,0.314,0
1.073,1,1.316,0,0.316,0
1.0681,1,1.318,0,0.318,0
1.0595,1,1.32,0,0.32,0
1.0509,1,1.322,0,0.322,0
1.0399,1,1.324,0,0.324,0
1.0277,1,1.326,0,0.326,0
1.0155,1,1.328,0,0.328,0
1.0035,1,1.33,0,0.33,0
0.99148,1,1.332,0,0.332,0
0.98027,1,1.334,0,0.334,0
0.96944,1,1.336,0,0.336,0
0.95973,1,1.338,0,0.338,0
0.95232,1,1.34,0,0.34,0
0.94492,1,1.342,0,0.342,0
0.93769,1,1.344,0,0.344,0
0.93053,1,1.346,0,0.346,0
0.9237,1,1.348,0,0.348,0
0.91756,1,1.35,0,0.35,0
0.91142,1,1.352,0,0.352,0
0.90428,1,1.354,0,0.354,0
0.89665,1,1.356,0,0.356,0
0.88902,1,1.358,0,0.358,0
0.88139,1,1.36,0,0.36,0
0.87376,1,1.362,0,0.362,0
0.86645,1,1.364,0,0.364,0
0.85929,1,1.366,0,0.366,0
0.85291,1,1.368,0,0.368,0
0.84816,1,1.37,0,0.37,0
0.8434,1,1.372,0,0.372,0
0.84068,1,1.374,0,0.374,0
0.83894,1,1.376,0,0.376,0
0.83836,1,1.378,0,0.378,0
0.84019,1,1.38,0,0.38,0
0.84203,1,1.382,0,0.382,0
0.84634,1,1.384,0,0.384,0
0.85185,1,1.386,0,0.386,0
0.85767,1,1.388,0,0.388,0
0.86415,1,1.39,0,0.39,0
0.87063,1,1.392,0,0.392,0
0.87777,1,1.394,0,0.394,0
0.88524,1,1.396,0,0.396,0
