"alpha_0^0","alpha_1^0","alpha_1^1","alpha_2^0","alpha_2^1","alpha_2^2","radiation flux density","u_0^0","u_1^0","u_1^1","u_2^0","u_2^1","u_2^2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1432,-0.0015858,0.0008514,-0.0055407,0.0029512,0.0008269,0.00031348,9.9783e-05,-4.7009e-08,3.3078e-08,3.3223e-05,3.7136e-08,3.3271e-05,1,0.21496,-0.848,-0.848,0
-1.1431,-0.0014014,0.00093301,-0.0059064,0.0025657,0.00097544,0.00031346,9.9777e-05,-4.2187e-08,3.8523e-08,3.3221e-05,2.6992e-08,3.3269e-05,1,0.21779,-0.846,-0.846,0
-1.1431,-0.0010194,0.00092178,-0.005646,0.0024515,0.0008638,0.00031348,9.9785e-05,-3.1826e-08,3.8389e-08,3.3223e-05,2.0954e-08,3.3273e-05,1,0.22062,-0.844,-0.844,0
-1.1433,-0.00043092,0.00076827,-0.0045261,0.0024439,0.00035466,0.00031355,9.9807e-05,-1.6122e-08,2.9658e-08,3.3228e-05,2.0661e-08,3.3286e-05,1,0.22345,-0.842,-0.842,0
-1.1435,0.00015761,0.00061475,-0.0034062,0.0024362,-0.0001545,0.00031362,9.9829e-05,-4.1784e-10,2.0927e-08,3.3233e-05,2.0368e-08,3.3299e-05,1,0.22627,-0.84,-0.84,0
-1.1438,0.00077218,0.00060131,-0.0020656,0.0024822,-0.00074163,0.00031371,9.9858e-05,1.721e-08,1.6695e-08,3.3243e-05,2.1246e-08,3.3311e-05,1,0.2291,-0.838,-0.838,0
-1.1442,0.0014598,0.00098001,-0.00010689,0.0026785,-0.0015471,0.00031386,9.9904e-05,4.0225e-08,2.506e-08,3.3268e-05,2.5402e-08,3.3323e-05,1,0.23193,-0.836,-0.836,0
-1.1446,0.0022221,0.0010096,0.0011056,0.0028506,-0.0014906,0.00031402,9.9956e-05,6.4333e-08,2.6885e-08,3.3294e-05,3.9951e-08,3.3339e-05,1,0.23476,-0.834,-0.834,0
-1.145,0.0029404,0.0010217,0.0022515,0.0029363,-0.0014128,0.00031418,0.00010001,8.7482e-08,2.8252e-08,3.3319e-05,5.3682e-08,3.3355e-05,1,0.23759,-0.832,-0.832,0
-1.1453,0.0032216,0.00090868,0.0028466,0.0021852,-0.001238,0.0003143,0.00010004,1.0119e-07,2.5997e-08,3.334e-05,5.8128e-08,3.3363e-05,1,0.24042,-0.83,-0.83,0
-1.1455,0.0035029,0.00079563,0.0034417,0.0014341,-0.0010631,0.00031442,0.00010008,1.1489e-07,2.3742e-08,3.3362e-05,6.2574e-08,3.3371e-05,1,0.24324,-0.828,-0.828,0
-1.1456,0.003604,0.00074549,0.0038187,0.001319,-0.0011399,0.00031447,0.0001001,1.219e-07,2.4503e-08,3.3375e-05,6.2477e-08,3.337e-05,1,0.24607,-0.826,-0.826,0
-1.1454,0.0031028,0.00074718,0.0031959,0.0016445,-0.0011721,0.0003144,0.00010008,1.0707e-07,2.1173e-08,3.3364e-05,5.4555e-08,3.3365e-05,1,0.2489,-0.824,-0.824,0
-1.1452,0.0025594,0.00075045,0.0024997,0.001979,-0.0011897,0.00031432,0.00010005,9.0729e-08,1.7373e-08,3.335e-05,4.6181e-08,3.3359e-05,1,0.25173,-0.822,-0.822,0
-1.145,0.0019897,0.00067264,0.0016756,0.0025084,-0.0010217,0.00031424,0.00010003,7.3214e-08,1.3993e-08,3.3337e-05,3.6702e-08,3.3353e-05,1,0.25456,-0.82,-0.82,0
-1.1448,0.0016665,0.0009446,0.0012805,0.0039319,-0.0010083,0.00031419,0.00010001,5.8461e-08,2.3391e-08,3.3329e-05,3.4875e-08,3.3346e-05,1,0.25739,-0.818,-0.818,0
-1.1448,0.0012203,0.0010998,0.00078421,0.005976,-0.00057273,0.00031416,9.9999e-05,4.1172e-08,2.9481e-08,3.3325e-05,3.1592e-08,3.3342e-05,1,0.26022,-0.816,-0.816,0
-1.1448,0.00077403,0.001255,0.00028795,0.0080199,-0.00013716,0.00031412,9.9989e-05,2.3883e-08,3.557e-08,3.3321e-05,2.8309e-08,3.3338e-05,1,0.26304,-0.814,-0.814,0
-1.1448,0.00063006,0.0015515,0.00045594,0.0095762,-0.00017473,0.00031412,9.9988e-05,1.6846e-08,4.7489e-08,3.3323e-05,2.888e-08,3.3335e-05,1,0.26587,-0.812,-0.812,0
-1.1449,0.0007017,0.0019488,0.0010977,0.010785,-0.00054979,0.00031414,9.9994e-05,1.7121e-08,6.3565e-08,3.3331e-05,3.22e-08,3.3331e-05,1,0.2687,-0.81,-0.81,0
-1.145,0.0009447,0.0025606,0.0017904,0.01174,-0.0011473,0.00031414,9.9994e-05,2.2846e-08,9.102e-08,3.3338e-05,3.6763e-08,3.3325e-05,1,0.27153,-0.808,-0.808,0
-1.145,0.0012031,0.0028544,0.0022401,0.011433,-0.0016051,0.00031414,9.9994e-05,3.097e-08,1.0507e-07,3.334e-05,3.949e-08,3.3323e-05,1,0.27436,-0.806,-0.806,0
-1.1449,0.0014823,0.0026966,0.0023453,0.0093383,-0.0018637,0.00031414,9.9994e-05,4.2463e-08,1.0008e-07,3.3336e-05,3.961e-08,3.3327e-05,1,0.27719,-0.804,-0.804,0
-1.1448,0.0017616,0.0025388,0.0024506,0.0072435,-0.0021223,0.00031414,9.9994e-05,5.3956e-08,9.5082e-08,3.3331e-05,3.973e-08,3.3331e-05,1,0.28001,-0.802,-0.802,0
-1.1448,0.0018724,0.0022366,0.0024712,0.005586,-0.0021442,0.00031415,9.9997e-05,5.8806e-08,8.4149e-08,3.3331e-05,4.0524e-08,3.3335e-05,1,0.28284,-0.8,-0.8,0
-1.1449,0.0015876,0.0014794,0.0018804,0.0044175,-0.0013432,0.00031418,0.00010001,5.1507e-08,5.6186e-08,3.3334e-05,3.8841e-08,3.3339e-05,1,0.28567,-0.798,-0.798,0
-1.145,0.0013698,0.00073264,0.0012419,0.0030369,-0.00051653,0.00031421,0.00010002,4.7449e-08,2.8495e-08,3.3339e-05,3.7168e-08,3.3342e-05,1,0.2885,-0.796,-0.796,0
-1.145,0.0011454,5.2362e-05,0.00064362,0.0018858,0.00021759,0.00031423,0.00010002,4.263e-08,3.2109e-09,3.3343e-05,3.534e-08,3.3343e-05,1,0.29133,-0.794,-0.794,0
-1.1449,0.00093596,0.00017979,0.00065186,0.0033494,-0.00026514,0.00031416,0.0001,3.2659e-08,8.4757e-09,3.3335e-05,3.0022e-08,3.3334e-05,1,0.29416,-0.792,-0.792,0
-1.1447,0.0009184,0.00026072,0.00086716,0.0043116,-0.00086609,0.0003141,9.9981e-05,3.1323e-08,1.4604e-08,3.3329e-05,2.163e-08,3.3323e-05,1,0.29698,-0.79,-0.79,0
-1.1446,0.00090083,0.00034165,0.0010825,0.0052738,-0.0014671,0.00031404,9.9962e-05,2.9986e-08,2.0733e-08,3.3324e-05,1.3238e-08,3.3313e-05,1,0.29981,-0.788,-0.788,0
-1.1445,0.0010801,0.00062367,0.0017402,0.0054985,-0.0023379,0.00031401,9.9953e-05,3.7402e-08,3.0407e-08,3.3317e-05,1.7318e-08,3.3312e-05,1,0.30264,-0.786,-0.786,0
-1.1445,0.001281,0.00092648,0.0024436,0.0056352,-0.0032364,0.00031399,9.9945e-05,4.5763e-08,4.0407e-08,3.3311e-05,2.2736e-08,3.3312e-05,1,0.30547,-0.784,-0.784,0
-1.1444,0.0015851,0.0011438,0.0029417,0.0041878,-0.0039577,0.00031396,9.9938e-05,5.6734e-08,4.2429e-08,3.3309e-05,3.0838e-08,3.3309e-05,1,0.3083,-0.782,-0.782,0
-1.1444,0.0016185,0.0010054,0.0028142,0.0028607,-0.0038366,0.00031397,9.994e-05,5.7275e-08,3.4538e-08,3.3311e-05,3.0939e-08,3.3308e-05,1,0.31113,-0.78,-0.78,0
-1.1444,0.001554,0.00073824,0.0024604,0.0015771,-0.0034108,0.00031399,9.9945e-05,5.4043e-08,2.3061e-08,3.3316e-05,2.8145e-08,3.3308e-05,1,0.31396,-0.778,-0.778,0
-1.1444,0.0014895,0.0004711,0.0021065,0.00029349,-0.002985,0.000314,9.9951e-05,5.081e-08,1.1585e-08,3.3321e-05,2.5351e-08,3.3308e-05,1,0.31678,-0.776,-0.776,0
-1.1444,0.0011215,0.00047198,0.001492,0.00065677,-0.0023997,0.000314,9.995e-05,3.7083e-08,1.1962e-08,3.3322e-05,2.3173e-08,3.3306e-05,1,0.31961,-0.774,-0.774,0
-1.1444,0.00057362,0.00059316,0.00073965,0.0017892,-0.0016768,0.00031399,9.9947e-05,1.7684e-08,1.7758e-08,3.3322e-05,2.0284e-08,3.3303e-05,1,0.32244,-0.772,-0.772,0
-1.1444,2.5715e-05,0.00071434,-1.2726e-05,0.0029216,-0.00095389,0.00031398,9.9944e-05,-1.715e-09,2.3554e-08,3.3322e-05,1.7394e-08,3.3301e-05,1,0.32527,-0.77,-0.77,0
-1.1444,-0.00043411,0.00085932,-0.00063411,0.0039582,-0.00032986,0.00031398,9.9943e-05,-1.8814e-08,3.1258e-08,3.332e-05,1.7345e-08,3.3301e-05,1,0.3281,-0.768,-0.768,0
-1.1444,-0.00067932,0.0010232,-0.00084724,0.0043827,-4.1329e-05,0.00031399,9.9945e-05,-2.8053e-08,3.9452e-08,3.3319e-05,2.0314e-08,3.3304e-05,1,0.33093,-0.766,-0.766,0
-1.1445,-0.00077427,0.0011536,-0.00066838,0.0039274,-0.00010033,0.00031401,9.9952e-05,-2.9104e-08,4.3042e-08,3.3327e-05,2.0743e-08,3.3302e-05,1,0.33375,-0.764,-0.764,0
