t,err_u,err_alpha,int_h,int_h_ref
0.522,0.01446501210906483,0.06639938924540746,-4.755849741011939,-4.818666365708101
0.525,0.014571521374425508,0.06653435726090903,-4.756752463412708,-4.819639488822274
0.528,0.014679210087289793,0.06667013411342843,-4.757648835321942,-4.820608708528772
0.531,0.014788014626169682,0.0667863162755839,-4.758540821147462,-4.8215739888341345
0.534,0.014897845867884538,0.06687624062775546,-4.759440658041372,-4.822535292870857
0.537,0.015008650484029693,0.06696797490602865,-4.760344133471341,-4.823492586442489
0.54,0.015120430047823994,0.06706722813200125,-4.761235230166859,-4.824445835991659
0.543,0.015233172725173867,0.06716195114531041,-4.762129532719338,-4.825395009135446
0.546,0.015346896565080249,0.0672648357223117,-4.7630135734353765,-4.826340074925088
0.549,0.015461617202756218,0.06736741807527678,-4.7638866362815,-4.827281003552529
0.552,0.01557714239928883,0.06742801915285442,-4.764777106129896,-4.828217765945341
0.555,0.01569329458668083,0.06748084957717614,-4.765670949737541,-4.829150334353475
0.558,0.01581008704491733,0.06754412977230263,-4.766550236879517,-4.830078682733294
0.561,0.01592752816183635,0.06761918416317125,-4.767414124391201,-4.831002785961349
0.5640000000000001,0.016045630825648263,0.06770589371146359,-4.7682630904166015,-4.831922619915757
0.5670000000000001,0.01616436398844238,0.06776543305520115,-4.769108089941315,-4.832838161374066
0.5700000000000001,0.016283706300459003,0.06781304050517434,-4.769946363797701,-4.833749388951571
0.5730000000000001,0.016403644691072958,0.06786764119242128,-4.770785834868713,-4.834656281965346
0.5760000000000001,0.0165241627483957,0.06792650050939071,-4.771625081866127,-4.835558821447054
0.579,0.016645268518765678,0.06799775080136344,-4.772447326271763,-4.836456989089718
0.582,0.01676693629858483,0.06805702510807472,-4.773262840475246,-4.837350767783935
0.585,0.016889112616914625,0.06809378133260141,-4.7740784504375915,-4.838240141882855
0.588,0.01701180150766853,0.06814308596480885,-4.7748769644867295,-4.83912509681797
0.591,0.017135014786629682,0.06820964638245954,-4.775657437317149,-4.840005618977944
0.594,0.017258661811840284,0.06828225552044297,-4.776440254810385,-4.840881696510602
0.597,0.017382606968443085,0.06832530584580564,-4.777232956358298,-4.8417533176894505
0.6,0.01750683142197702,0.06836411241753604,-4.7780155151797254,-4.842620472540678
0.603,0.017631338523544326,0.06840798579112552,-4.778800599046538,-4.8434831524503
0.606,0.017756141515681584,0.06845615013530944,-4.779609675013927,-4.844341349842087
0.609,0.01788126047815289,0.06850459071162826,-4.780403672221686,-4.8451950574858875
