2022-01-13 12:01:39.188814 ,u_0,u_1,alpha_0,alpha_1,h
2022-01-13 12:01:39.190073 ,1.000000000000,-0.383333333333,-0.948056083398,-1.267974971116,-1.461999063780
2022-01-13 12:01:39.190079 ,1.000000000000,-0.380000000000,-0.942949241422,-1.254594651285,-1.466203326023
2022-01-13 12:01:39.190085 ,1.000000000000,-0.376666666667,-0.937915385846,-1.241289357815,-1.470363112615
2022-01-13 12:01:39.190092 ,1.000000000000,-0.373333333333,-0.932953505019,-1.228057726790,-1.474478671363
2022-01-13 12:01:39.190098 ,1.000000000000,-0.370000000000,-0.928062611170,-1.214898421853,-1.478550245574
2022-01-13 12:01:39.190105 ,1.000000000000,-0.366666666667,-0.923241739763,-1.201810133437,-1.482578074146
2022-01-13 12:01:39.190111 ,1.000000000000,-0.363333333333,-0.918489948856,-1.188791578006,-1.486562391653
2022-01-13 12:01:39.190117 ,1.000000000000,-0.360000000000,-0.913806318499,-1.175841497335,-1.490503428436
2022-01-13 12:01:39.190123 ,1.000000000000,-0.356666666667,-0.909189950141,-1.162958657809,-1.494401410681
2022-01-13 12:01:39.190137 ,1.000000000000,-0.353333333333,-0.904639966061,-1.150141849735,-1.498256560503
2022-01-13 12:01:39.190144 ,1.000000000000,-0.350000000000,-0.900155508818,-1.137389886692,-1.502069096023
2022-01-13 12:01:39.190151 ,1.000000000000,-0.346666666667,-0.895735740718,-1.124701604889,-1.505839231445
2022-01-13 12:01:39.190157 ,1.000000000000,-0.343333333333,-0.891379843302,-1.112075862545,-1.509567177132
2022-01-13 12:01:39.190163 ,1.000000000000,-0.340000000000,-0.887087016842,-1.099511539295,-1.513253139676
2022-01-13 12:01:39.190170 ,1.000000000000,-0.336666666667,-0.882856479864,-1.087007535609,-1.516897321968
2022-01-13 12:01:39.190176 ,1.000000000000,-0.333333333333,-0.878687468679,-1.074562772226,-1.520499923271
2022-01-13 12:01:39.190183 ,1.000000000000,-0.330000000000,-0.874579236937,-1.062176189611,-1.524061139279
2022-01-13 12:01:39.190189 ,1.000000000000,-0.326666666667,-0.870531055182,-1.049846747429,-1.527581162191
2022-01-13 12:01:39.190195 ,1.000000000000,-0.323333333333,-0.866542210437,-1.037573424029,-1.531060180767
2022-01-13 12:01:39.190202 ,1.000000000000,-0.320000000000,-0.862612005792,-1.025355215947,-1.534498380392
2022-01-13 12:01:39.190208 ,1.000000000000,-0.316666666667,-0.858739760007,-1.013191137426,-1.537895943136
2022-01-13 12:01:39.190215 ,1.000000000000,-0.313333333333,-0.854924807130,-1.001080219945,-1.541253047813
2022-01-13 12:01:39.190221 ,1.000000000000,-0.310000000000,-0.851166496125,-0.989021511766,-1.544569870034
2022-01-13 12:01:39.190227 ,1.000000000000,-0.306666666667,-0.847464190512,-0.977014077495,-1.547846582269
2022-01-13 12:01:39.190234 ,1.000000000000,-0.303333333333,-0.843817268019,-0.965056997650,-1.551083353892
2022-01-13 12:01:39.190240 ,1.000000000000,-0.300000000000,-0.840225120244,-0.953149368246,-1.554280351242
2022-01-13 12:01:39.190247 ,1.000000000000,-0.296666666667,-0.836687152328,-0.941290300393,-1.557437737668
2022-01-13 12:01:39.190253 ,1.000000000000,-0.293333333333,-0.833202782638,-0.929478919904,-1.560555673581
2022-01-13 12:01:39.190260 ,1.000000000000,-0.290000000000,-0.829771442460,-0.917714366911,-1.563634316501
2022-01-13 12:01:39.190266 ,1.000000000000,-0.286666666667,-0.826392575700,-0.905995795493,-1.566673821107
2022-01-13 12:01:39.190272 ,1.000000000000,-0.283333333333,-0.823065638597,-0.894322373324,-1.569674339280
2022-01-13 12:01:39.190279 ,1.000000000000,-0.280000000000,-0.819790099443,-0.882693281314,-1.572636020149
2022-01-13 12:01:39.190285 ,1.000000000000,-0.276666666667,-0.816565438310,-0.871107713272,-1.575559010134
2022-01-13 12:01:39.190292 ,1.000000000000,-0.273333333333,-0.813391146789,-0.859564875574,-1.578443452988
2022-01-13 12:01:39.190298 ,1.000000000000,-0.270000000000,-0.810266727733,-0.848063986845,-1.581289489841
2022-01-13 12:01:39.190305 ,1.000000000000,-0.266666666667,-0.807191695013,-0.836604277637,-1.584097259238
2022-01-13 12:01:39.190311 ,1.000000000000,-0.263333333333,-0.804165573272,-0.825184990133,-1.586866897176
2022-01-13 12:01:39.190317 ,1.000000000000,-0.260000000000,-0.801187897699,-0.813805377844,-1.589598537148
2022-01-13 12:01:39.190324 ,1.000000000000,-0.256666666667,-0.798258213798,-0.802464705322,-1.592292310175
2022-01-13 12:01:39.190330 ,1.000000000000,-0.253333333333,-0.795376077174,-0.791162247879,-1.594948344848
2022-01-13 12:01:39.190337 ,1.000000000000,-0.250000000000,-0.792541053314,-0.779897291311,-1.597566767355
2022-01-13 12:01:39.190343 ,1.000000000000,-0.246666666667,-0.789752717388,-0.768669131635,-1.600147701524
2022-01-13 12:01:39.190350 ,1.000000000000,-0.243333333333,-0.787010654044,-0.757477074822,-1.602691268851
2022-01-13 12:01:39.190356 ,1.000000000000,-0.240000000000,-0.784314457215,-0.746320436549,-1.605197588538
2022-01-13 12:01:39.190362 ,1.000000000000,-0.236666666667,-0.781663729933,-0.735198541952,-1.607666777517
2022-01-13 12:01:39.190369 ,1.000000000000,-0.233333333333,-0.779058084142,-0.724110725380,-1.610098950490
2022-01-13 12:01:39.190375 ,1.000000000000,-0.230000000000,-0.776497140526,-0.713056330165,-1.612494219952
2022-01-13 12:01:39.190382 ,1.000000000000,-0.226666666667,-0.773980528332,-0.702034708391,-1.614852696227
2022-01-13 12:01:39.190393 ,1.000000000000,-0.223333333333,-0.771507885207,-0.691045220668,-1.617174487492
2022-01-13 12:01:39.190399 ,1.000000000000,-0.220000000000,-0.769078857031,-0.680087235920,-1.619459699805
2022-01-13 12:01:39.190406 ,1.000000000000,-0.216666666667,-0.766693097766,-0.669160131165,-1.621708437136
2022-01-13 12:01:39.190412 ,1.000000000000,-0.213333333333,-0.764350269298,-0.658263291310,-1.623920801391
2022-01-13 12:01:39.190419 ,1.000000000000,-0.210000000000,-0.762050041291,-0.647396108952,-1.626096892440
2022-01-13 12:01:39.190425 ,1.000000000000,-0.206666666667,-0.759792091045,-0.636557984171,-1.628236808137
2022-01-13 12:01:39.190432 ,1.000000000000,-0.203333333333,-0.757576103352,-0.625748324346,-1.630340644353
2022-01-13 12:01:39.190438 ,1.000000000000,-0.200000000000,-0.755401770365,-0.614966543958,-1.632408494993
