t,err_u,err_alpha,int_h,int_h_ref
8.799,0.0036211873561393542,0.00821710202761023,-5.1659423279415,-5.168732929883998
8.802,0.003605897040726273,0.008234785938643982,-5.16594418802679,-5.168734812003101
8.805,0.0035904042011663125,0.008252305608994032,-5.165946095128693,-5.168736682581278
8.808,0.003574711331650612,0.008269813752928144,-5.165948137092024,-5.168738541668579
8.811,0.003558822752424737,0.008286746747620293,-5.165949955060191,-5.168740389314555
8.814,0.0035427423462481107,0.00830361802312504,-5.165952213641048,-5.168742225563064
8.817,0.0035264722833429317,0.008320297927188166,-5.1659538408546055,-5.168744050470414
8.82,0.003510017169090462,0.008336699790473715,-5.165955727921202,-5.168745864098292
8.823,0.0034933793870127205,0.008352923510715406,-5.165957710947327,-5.1687476665047765
8.826,0.0034765628365952734,0.008369065713185382,-5.1659597113820945,-5.168749457747888
8.829,0.0034595702458962885,0.008384900545410573,-5.165961616001743,-5.168751237897145
8.832,0.0034424067272821606,0.008400378561020945,-5.165963124209143,-5.168753007016725
8.835,0.0034250753562747554,0.008415870571291393,-5.1659652450064435,-5.168754765180419
8.838000000000001,0.003407578802436269,0.008431141687073202,-5.1659667819757065,-5.168756512461905
8.841,0.003389922640113862,0.008445971267589076,-5.165968929985566,-5.168758248950009
8.844,0.0033721105619755653,0.0084606016566721,-5.16597053152234,-5.168759974706946
8.847,0.0033541473695174375,0.008474824029214675,-5.165972307230258,-5.168761689828512
8.85,0.0033360373680669324,0.008488778028831462,-5.165974395451278,-5.168763394392845
8.853,0.003317784947042253,0.008502513509066643,-5.16597592769473,-5.168765088499214
8.856,0.003299393050574555,0.008516337579115312,-5.165977598118754,-5.168766772234805
8.859,0.003280868673073202,0.008529445841316118,-5.165979625260478,-5.168768445679106
8.862,0.0032622160265572096,0.008542498211975953,-5.165981208271915,-5.1687701089362195
8.865,0.003243438943816596,0.008555214570613794,-5.165982916776133,-5.1687717621151865
8.868,0.003224544522522709,0.008567461466728326,-5.165984620515875,-5.168773405308257
8.871,0.003205537973732826,0.008579434277463483,-5.165986512164669,-5.168775038611757
8.874,0.003186421831642437,0.008591529499450941,-5.165987947710463,-5.168776662134304
8.877,0.0031672037863428736,0.008602860589436571,-5.1659898453509525,-5.168778275986557
8.88,0.003147888470344691,0.008614283297364703,-5.165991678857567,-5.168779880287806
